ID,URL,Repo Name,Collection,MD Contents,C++/C Contents,Python Contents,SA?,Battery MD,Battery C/C++,Battery Python,Energy MD,Energy C/C++,Energy Python,Power MD,Power C/C++,Power Python,Sustain MD,Sustain C/C++,Sustain Python,Green MD,Green C/C++,Green Python
REPO6,https://github.com/markusk/minibot,minibot,Repositories,{'message': 'no data'},{'message': 'no data'},{'lcd_test': '-Battery with 3 x 3.3Volt = 9.9 Volt (empty battery) 3S LiPo-Battery with 3 x 4.2Volt = 12.6 Vol'},,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
REPO8,https://github.com/markusk/minibot,minibot,Repositories,{'message': 'no data'},{'message': 'no data'},{'minibot': 'e.########## Threads##### read AD converter (battery voltage) use channel 0 on IC 2.73 V = 12.32 '},,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
REPO9,https://github.com/markusk/minibot,minibot,Repositories,{'message': 'no data'},{'message': 'no data'},{'battery': ' Digital converter object read AD converter (battery voltage) use channel 0 on IC 13.44 Volt batt'},,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
REPO13,https://github.com/MalcolmMielle/Auto-Complete-Graph,Auto-Complete-Graph,Repositories,{'message': 'no data'},{'message': 'no data'},"{'t_test': 'cs with R"" by Peter Dalgaard daily intake of energy in kJ for 11 women one sample t-test null hy'}",,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
REPO14,https://github.com/Bichette09/imaginarium,imaginarium,Repositories,{'message': 'no data'},{'message': 'no data'},{'settings_store_client': 's will listen controller.html page to manage power status'},,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
REPO15,https://github.com/Bichette09/imaginarium,imaginarium,Repositories,{'message': 'no data'},{'message': 'no data'},{'gyro': '8 define MPU address wake up device and init power management PWR_MGMT_1 who am i configure gyr'},,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
REPO16,https://github.com/Bichette09/imaginarium,imaginarium,Repositories,{'message': 'no data'},{'message': 'no data'},"{'actuatorESP32': 'TOP if we are about to close the node, or if power is disabled, emit neutral point rospy.logwar'}",,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
REPO17,https://github.com/Bichette09/imaginarium,imaginarium,Repositories,{'message': 'no data'},{'message': 'no data'},"{'actuator': 'TOP if we are about to close the node, or if power is disabled, emit neutral point rospy.logwar'}",,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
REPO18,https://bitbucket.org/udg_cirs/cola2_core,cola2_core,Repositories,{'message': 'no data'},{'message': 'no data'},"{'sim_internal_sensors': ' received in X seconds, abort mission Reduce battery level Publish diagnostic message'}",,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
REPO19,https://bitbucket.org/udg_cirs/cola2_core,cola2_core,Repositories,{'message': 'no data'},{'message': 'no data'},{'vehicle_status_parser': 'or last nav data Create Publisher Initialize battery data Which value do I put? This should not b'},,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
REPO40,https://github.com/uf-mil-archive/PropaGator,PropaGator,Repositories,{'message': 'no data'},{'message': 'no data'},{'boat_class': ' and avoid being at the 0/2*PI boundary on a powerup 1.4 rad/s~22 rpm 205/1023 is about 20% tor'},,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
REPO41,https://github.com/uf-mil-archive/PropaGator,PropaGator,Repositories,{'message': 'no data'},{'message': 'no data'},{'dynamixel_io': 'tion modify EEPROM data which persists after power cycle ######################################'},,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
REPO44,https://github.com/uf-mil-archive/PropaGator,PropaGator,Repositories,{'message': 'no data'},{'message': 'no data'},{'azimuth_drive': 'trust (Not doing any nonlinear modelling for power cost) f in x f in y Moment about Z Early Che'},,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
REPO50,https://github.com/ipa320/cob_command_tools,cob_command_tools,Repositories,{'message': 'no data'},{'message': 'no data'},{'battery_monitor': 'ions and limitations under the License. % of battery level % of battery level % of battery level '},,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
REPO57,https://github.com/pbouffard/ccny-ros-pkg-pbouffard,ccny-ros-pkg-pbouffard,Repositories,{'message': 'no data'},{'message': 'no data'},{'monitor': '://en.wikipedia.org/wiki/Lithium-ion_polymer_battery Maximum Voltage Warning Voltage Minimum Volt'},,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
REPO87,https://github.com/mavlink/mavros,mavros,Repositories,{'message': 'no data'},"{'enum_to_string': ' and going down. System just initialized its power-down sequence, will shut down now. System is'}",{'message': 'no data'},,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
REPO88,https://github.com/mavlink/mavros,mavros,Repositories,{'message': 'no data'},"{'sys_status': 'g.outl(""default:"") cog.outl(""\\tbatt_msg->power_supply_technology = BatteryMsg::POWER_SUPPLY'}",{'message': 'no data'},,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
REPO97,https://github.com/utexas-bwi/segbot,segbot,Repositories,{'message': 'no data'},"{'battery_diagnostics': 'egator config file expectsDoes there exist a battery profile? If so, acquire the parameters it de'}",{'voltmeter': 'ility options: initialize constant fields in battery message Parse serial message line into a lis'},,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
REPO98,https://github.com/utexas-bwi/segbot,segbot,Repositories,{'message': 'no data'},{'inv_mpu': 's appear on the primary. 1 if device in low-power accel-only mode. 1 if interrupts are only t'},{'message': 'no data'},,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
REPO100,https://github.com/youbot/youbot-ros-pkg,youbot-ros-pkg,Repositories,{'message': 'no data'},{'youbot_battery_monitor': 'ite IP addresses to the lcd display retrieve battery information call the beep command dashboard '},{'message': 'no data'},,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
REPO115,https://github.com/pandora-auth-ros-pkg/pandora_ros_pkgs,pandora_ros_pkgs,Repositories,{'message': 'no data'},{'xmega_hardware_interface': '*********************** connect and register power supply interface connect and register range '},{'message': 'no data'},,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
REPO116,https://github.com/pandora-auth-ros-pkg/pandora_ros_pkgs,pandora_ros_pkgs,Repositories,{'message': 'no data'},"{'xmega_serial_interface': ""up ' ' after sensor id ' ' after sensor type battery, not i2c sensor encoder, not i2c sensor ' ' ""}",{'message': 'no data'},,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
REPO117,https://github.com/pandora-auth-ros-pkg/pandora_ros_pkgs,pandora_ros_pkgs,Repositories,{'message': 'no data'},{'arm_hardware_interface': ' range sensor interface connect and register battery interface connect and register joint state i'},{'message': 'no data'},,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
REPO118,https://github.com/pandora-auth-ros-pkg/pandora_ros_pkgs,pandora_ros_pkgs,Repositories,{'message': 'no data'},{'gio_gazebo_interface': 'egister the co2 sensor interface Electronics battery sensor Motors battery sensor Connect and reg'},{'message': 'no data'},,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
REPO120,https://github.com/jhu-lcsr/sp_segmenter,sp_segmenter,Repositories,{'message': 'no data'},"{'WKmeans': 'cerr<<""Iter-""<<cur_counter<<"" Energy: ""<<cur_energy<<std::endl;Sparse Data Kmeans///////////////'}",{'message': 'no data'},,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
REPO125,https://github.com/duckietown/Softwareduck,Softwareduck,Repositories,{'message': 'no data'},"{'common_functions': ', skip it. Draw tag outline with edge colors green, blue, blue, red (going counter-clockwise, s'}",{'Adafruit_ADS1x15': 'e ADC will do a single conversion and enter power-off mode. Page 18 datasheet. Read the conver'},,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
REPO126,https://github.com/duckietown/Softwareduck,Softwareduck,Repositories,{'message': 'no data'},{'message': 'no data'},"{'Adafruit_LSM303': '(10-bit) output mode. Low-res mode uses less power and sustains a higher update rate, output is'}",,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
REPO130,https://github.com/duckietown/Softwareduck,Softwareduck,Repositories,{'message': 'no data'},{'message': 'no data'},{'charging_control_node': 'the status to: ready to leave charging area (battery full) Request that Duckiebot should drive to'},,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
REPO132,https://github.com/billieblaze/ROS_Rover_addons,ROS_Rover_addons,Repositories,{'message': 'no data'},{'AccelStepper': '00 1010 0010 0110 01000101 00011001 Prevents power consumption on the outputs Handles inversion'},{'message': 'no data'},,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
REPO140,https://github.com/yujinrobot/kobuki,kobuki,Repositories,{'message': 'no data'},"{'diagnostics': ""**************** TODO: how can we tell which battery is in use? i.e. fully charged TODO: what's t""}","{'test_external_power': 'h, uses -p option.""print """"print ""p: publish power on/off status""print "" [ On] [Off] [ On] [Off'}",,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0
REPO142,https://github.com/yujinrobot/kobuki,kobuki,Repositories,{'message': 'no data'},{'message': 'no data'},"{'DockDriveControl': ""cel_dock', Empty), 'e':(self.pub['motor_power'].publish,MotorPower(MotorPower.ON),'enabled""}",,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
REPO143,https://github.com/sbrodeur/ros-icreate-bbb,ros-icreate-bbb,Repositories,{'message': 'no data'},"{'driver': "" Start in full control mode Show robot's battery level Set frame_id's Setup services Setup su""}",{'behaviours': ' # Activation of behaviour batteryLevel = float(state.battery.batteryCharge) / '},,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0
REPO144,https://github.com/sbrodeur/ros-icreate-bbb,ros-icreate-bbb,Repositories,{'message': 'no data'},{'message': 'no data'},{'visualize_hdf5': 'from clock Select only the subset related to battery voltage and current (respectively) Convert c'},,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
REPO145,https://github.com/inomuh/evapi_ros,evapi_ros,Repositories,{'message': 'no data'},"{'L3G': 'he gyro and places it in normal mode. Normal power mode, all axes enabled 2000 dps full scale'}",{'message': 'no data'},,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
REPO146,https://github.com/inomuh/evapi_ros,evapi_ros,Repositories,{'message': 'no data'},{'LSM303': ') MFS = 01 (4 gauss full scale) MLP = 0 (low power mode off) MD = 00 (continuous-conversion mod'},{'message': 'no data'},,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
REPO147,https://github.com/inomuh/evapi_ros,evapi_ros,Repositories,{'message': 'no data'},{'evarobot_battery': 'CC pin disabled High Voltage Low voltage Low battery Charging Discharging Fully charged'},{'message': 'no data'},,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
REPO148,https://github.com/BCLab-UNM/SwarmBaseCode-ROS,SwarmBaseCode-ROS,Repositories,{'message': 'no data'},"{'sbridge': ""ng at the same time, it will not have enough power to carry out each of those at it's full valu""}",{'message': 'no data'},,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
REPO149,https://github.com/BCLab-UNM/SwarmBaseCode-ROS,SwarmBaseCode-ROS,Repositories,{'message': 'no data'},"{'rover_gui_plugin': 'n it deselected Currently, we cannot use the power law distribution with custon numbers of cube'}",{'message': 'no data'},,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
REPO151,https://github.com/BCLab-UNM/SwarmBaseCode-ROS,SwarmBaseCode-ROS,Repositories,{'message': 'no data'},{'LSM303': 's full scale) 0x00 = 0b00000000 MLP = 0 (low power mode off); MD = 00 (continuous-conversion mo'},{'message': 'no data'},,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
REPO165,https://github.com/AutonomyLab/bebop_autonomy,bebop_autonomy,Repositories,{'message': 'no data'},{'bebop_itl_test': 'erything else is ready) The problem with the battery state is that it is only updated when its va'},{'message': 'no data'},,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
REPO166,https://github.com/linorobot/linorobot,linorobot,Repositories,{'message': 'no data'},{'ADXL345': ': 2011-07-31 - initial release reset all power settings DEVID register THRESH_TAP register '},{'message': 'no data'},,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
REPO174,https://github.com/AutonomyLab/create_autonomy,create_autonomy,Repositories,{'message': 'no data'},"{'create_driver': "" Start in full control mode Show robot's battery level Set frame_id's Populate intial covaria""}",{'message': 'no data'},,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
REPO175,https://github.com/bluesat/owr_software,owr_software,Repositories,{'message': 'no data'},{'NavigationNode': 'function GPS related data Power left on the battery Subscribe to all topics that will be publish'},{'message': 'no data'},,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
REPO176,https://github.com/bluesat/owr_software,owr_software,Repositories,{'message': 'no data'},{'NavigationGUI': 'the list of GPS co-ordinates debug - animate battery and signal calculate the path rotation angle'},{'message': 'no data'},,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
REPO210,https://github.com/EndPointCorp/lg_ros_nodes,lg_ros_nodes,Repositories,{'TELEOP': ' |\n| Home | Display Wiimote battery level |\n| | '},{'teleop_wiimote': 'tLEDFeedback for levels). to show the approx battery leve of the Wiimote. Only works if the 1-But'},"{'wiimote_node': 'g.rumble) + ""\\n Battery: ["" + str(msg.raw_battery) + "","" + str(msg.percent_battery))rospy.logd'}",,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0
REPO211,https://github.com/EndPointCorp/lg_ros_nodes,lg_ros_nodes,Repositories,{'message': 'no data'},{'message': 'no data'},{'wiimoteConstants': ' = 10 Indices into a two-tuple of info about battery state in wiimote messages: 0: Percentage o'},,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
REPO213,https://github.com/osu-uwrt/riptide_software,riptide_software,Repositories,"{'riptide_teleop': 'uld proces. Last, pressing the ""X"" will kill power to all thrusters.\n\n* Input Topics: /joy, /st'}",{'message': 'no data'},{'message': 'no data'},,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
REPO214,https://bitbucket.org/auengagroactu_sens/dji_matrice100_onboard_sdk_ros,dji_matrice100_onboard_sdk_ros,Repositories,{'Appendix': 'etry data\n\ttype: nav_msgs/Odometry\n\n/dji_sdk/power_status\n\tinfo: current battery info\n\ttype: dj'},{'dji_sdk_node_main': 'update compass msgupdate flight_statusupdate battery msgupdate flight control info***************'},{'message': 'no data'},,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
REPO215,https://github.com/ros-planning/navigation2,navigation2,Repositories,"{'requirements': 'it, for example, to shut down or enter a low-power state.\nMP009 | Mission Planning.Navigation C'}",{'nav2_panel': 'k on completion in the timer callback Draw a green arrow at the waypoint pose Draw a red circle'},{'message': 'no data'},,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
REPO216,https://bitbucket.org/whoidsl/ds_base,ds_base,Repositories,"{'IO_STATE_MACHINE': 'onse to user input. For example, the Lambda power supply driver uses preempt commands to set t'}",{'message': 'no data'},{'message': 'no data'},,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
REPO217,https://github.com/jhu-asco/aerial_autonomy,aerial_autonomy,Repositories,{'creating_autonomy_application': '` keeps a `UAVSystem` from taking off if the battery level percentage\nis below some threshold. G'},{'arm_system_tests': '/ \\brief Test Arm System Test Command after powering off Choose sine controller'},{'message': 'no data'},,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
REPO218,https://github.com/jhu-asco/aerial_autonomy,aerial_autonomy,Repositories,"{'background': 'tes. For example, if the quadrotor has a low battery warning, the quadrotor will not accept a goa'}",{'arm_functor_tests': '// \\brief Test Folding Try folding If arm is powered off should abort If arm if folded should p'},{'message': 'no data'},,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
REPO220,https://github.com/jhu-asco/aerial_autonomy,aerial_autonomy,Repositories,{'message': 'no data'},{'mpc_functor_tests': 'he controller Check status of controller Set battery voltage to low value Test internal action Fl'},{'message': 'no data'},,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
REPO221,https://github.com/jhu-asco/aerial_autonomy,aerial_autonomy,Repositories,{'message': 'no data'},{'visual_servoing_functor_tests': 'ternal action Check status of controller Set battery voltage to low value Test internal action Fl'},{'message': 'no data'},,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
REPO222,https://github.com/jhu-asco/aerial_autonomy,aerial_autonomy,Repositories,{'message': 'no data'},{'uav_basic_functor_tests': 'ngFunctor Internal Action Should not land if battery is low// \\brief Test Takeoff Functors After '},{'message': 'no data'},,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
REPO223,https://github.com/jhu-asco/aerial_autonomy,aerial_autonomy,Repositories,{'message': 'no data'},{'joystick_state_machine_tests': 'ted First takeoff Start Joystick control Low battery while reaching goal Run Internal Transition '},{'message': 'no data'},,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
REPO225,https://github.com/jhu-asco/aerial_autonomy,aerial_autonomy,Repositories,{'message': 'no data'},{'uav_arm_sysid_state_machine_tests': 'ted First takeoff Start Joystick control Low battery while reaching goal Run Internal Transition '},{'message': 'no data'},,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
REPO227,https://github.com/jhu-asco/aerial_autonomy,aerial_autonomy,Repositories,{'message': 'no data'},{'uav_state_machine_tests': 'We switch to Hovering here After Hovering if battery is low we stay in hovering Takeoff in proces'},{'message': 'no data'},,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
REPO229,https://github.com/craftit/DogBotSoftware,DogBotSoftware,Repositories,"{'poweringup': 'when voltage dips below 26V**\n\nThere are two power options for DogBot, mains power or batteries'}",{'message': 'no data'},{'message': 'no data'},,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0
REPO238,https://github.com/CopterExpress/clever,clever,Repositories,"{'power': 'считанное значение.\n\n<img src=""../assets/qgc-battery.png"" class=""zoom"">\n\nДополнительная информаци'}",{'led': 'tes incorrect voltage measurement notify low battery every time cannot work without set_leds serv'},{'message': 'no data'},,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
REPO257,https://github.com/JHS-ARCC-Club/jetson_car,jetson_car,Repositories,{'ISSUE_TEMPLATE': ' \n\n - **Be sure you are supplying adequate power to the board.** Check the specs of\n your'},{'message': 'no data'},{'BNO055': 'nds (this seems to be necessary after a hard power down). Swallow an IOError that might be rais'},,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
REPO258,https://github.com/JHS-ARCC-Club/jetson_car,jetson_car,Repositories,{'message': 'no data'},{'message': 'no data'},{'hal_env': ' if neededWhen the sign changes on pose then power*lastPose will be negative85 = minor axis of '},,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
REPO259,https://github.com/olin-robotic-sailing/oars-roboboat,oars-roboboat,Repositories,"{'ros_topics': 'rning the boat right. (Float32)\n* `propeller_power` Power provided to the propeller, with 0 bei'}",{'message': 'no data'},"{'simulator_main': 'Sr = shadow_ratio(model.relwindcomp) PrJib = power_ratio(self.JibPos,model.relwindcomp)*self.st'}",,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
REPO266,https://github.com/RoboJackets/igvc-software,igvc-software,Repositories,{'iop': 's acceptable.\n> The team **shall NOT connect power to this connector** at this time – **only th'},{'message': 'no data'},{'message': 'no data'},,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
REPO267,https://github.com/RoboJackets/igvc-software,igvc-software,Repositories,"{'FirmwareRefactor': 'e robot (current motor speed, e-stop status, battery voltage)\n\nThe mbed and the computer communic'}",{'message': 'no data'},{'message': 'no data'},,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REPO269,https://github.com/RoboJackets/igvc-software,igvc-software,Repositories,"{'low_performance_mode': 'inaccuracies, it would overall save time and energy when testing. The second part of this proble'}",{'message': 'no data'},{'message': 'no data'},,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
REPO272,https://github.com/uwreact/frc_control,frc_control,Repositories,{'message': 'no data'},{'message': 'no data'},{'pc_stats': 'y default values until first update Read the power supply status TODO: Display power icon while'},,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
REPO275,https://github.com/corobotics/corobot-kinetic,corobot-kinetic,Repositories,"{'STARTUP': '- otherwise, the Kinect or Create may not be powered/connected.\n\nIn another terminal, run:\n\n* `'}",{'message': 'no data'},"{'manage': 'te, (serverSocket,)) Akshay - End of new codebatteryLevel = float(dArray.status[2].values[3].valu'}",,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
REPO276,https://github.com/corobotics/corobot-kinetic,corobot-kinetic,Repositories,{'message': 'no data'},{'message': 'no data'},"{'monitor': '%f"", self.currNewGoal.x, self.currNewGoal.y, batteryThread.homeCoordinates.x, batteryThread.homeC'}",,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
REPO280,https://github.com/UBC-Thunderbots/Softwareubc,Softwareubc,Repositories,"{'HowToBuildAndFlashFirmware': 's puts the robot in ""boot mode""\n3. Flick the power switch to turn on the robot, AND HOLD THE SW'}","{'direct_wheels_primitive': ' Clamp wheel power if out of range, log a warning'}",{'message': 'no data'},,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
REPO282,https://github.com/UBC-Thunderbots/Softwareubc,Softwareubc,Repositories,"{'code-style-guide': ' // Incorrect\n // This function returns the power\n float power(float a, float b);\n\n // Corre'}",{'annunciator': 'this bot General robot status update Warn if battery voltage is too low Warn if capacitor voltage'},{'message': 'no data'},,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0
REPO299,https://github.com/pantor/ros-control-center,ros-control-center,Repositories,"{'README': 'like a console (rosout by default) output, a battery status view, a camera stream view or an adva'}",{'message': 'no data'},{'message': 'no data'},,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REPO302,https://github.com/chrisl8/ArloBot,ArloBot,Repositories,"{'BehaviorPlanning': 'cies,\nI have in mind internal ones, like low battery, unexpected motor shutoffs (fuses), cliffs, '}",{'message': 'no data'},"{'arlobot_safety': 'r not Track battery I am going to set the AC power status as a parameter, so that it can be che'}",,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
REPO303,https://github.com/chrisl8/ArloBot,ArloBot,Repositories,{'message': 'no data'},{'message': 'no data'},"{'arlobot_movement_test': 'ase_link transform! I am going to set the AC power status as a parameter, so that it can be che'}",,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
REPO311,https://github.com/patrickelectric/bluerov_ros_playground,bluerov_ros_playground,Repositories,{'README': 'eRov2/arm** - `std_msgs/Bool`\n - **/BlueRov2/battery** - `sensor_msgs/BatteryState`\n - **/BlueRov'},{'message': 'no data'},{'message': 'no data'},,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REPO312,https://github.com/patrickelectric/bluerov_ros_playground,bluerov_ros_playground,Repositories,"{'topics_and_data': 'et_local"": {}\n },\n ""battery"": {\n ""power_supply_status"": 2,\n ""capacity"": ""nan"",\n'}",{'message': 'no data'},{'message': 'no data'},,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0